PLAYER_ID,GP,PTS,REB,AST,STL,BLK
1630173,134,7.2,5.1,0.8,0.4,0.5
203500,664,9.3,8.0,1.5,0.9,0.9
1628389,343,13.5,8.3,3.5,1.0,0.9
1630583,32,4.1,2.7,0.7,0.2,0.3
200746,1076,19.1,8.1,1.9,0.7,1.1
1629638,158,9.3,2.6,2.2,0.7,0.3
1628960,192,9.4,2.6,1.5,0.6,0.2
1628386,341,11.6,8.7,1.4,0.5,1.4
1630631,54,6.1,1.9,2.8,1.3,0.1
203937,505,6.7,4.4,2.3,1.0,0.6
203507,656,21.8,9.4,4.6,1.2,1.3
203648,127,3.1,2.0,0.7,0.4,0.2
2546,1260,22.5,6.2,2.7,1.0,0.5
1630175,112,14.9,5.1,5.0,0.7,0.3
1628384,301,10.4,4.1,1.4,1.1,0.5
1627853,217,4.6,2.0,2.1,0.5,0.0
201571,976,9.5,1.8,3.9,0.6,0.0
1630166,136,7.6,5.1,1.7,0.7,0.4
1629028,236,16.3,10.5,1.6,0.7,1.0
1628962,32,3.0,2.6,0.0,0.1,0.5
1628963,166,13.6,7.4,0.9,0.5,0.7
1630163,126,18.3,6.4,7.0,1.6,0.4
1628366,252,11.9,5.7,6.2,1.6,0.6
1628964,226,7.7,6.1,0.9,0.4,1.4
1630217,144,14.0,3.8,2.3,0.9,0.3
1630625,64,3.2,1.9,1.5,0.4,0.2
203084,747,14.1,5.1,1.8,0.7,0.2
1630567,74,15.3,7.5,3.5,1.1,0.7
1629628,198,17.5,5.6,2.9,0.8,0.3
203115,623,11.6,4.3,2.7,0.8,0.4
1629646,23,3.0,2.7,0.3,0.2,0.7
1628966,163,5.2,3.0,0.6,0.5,0.3
201587,915,11.1,5.1,3.5,1.0,0.6
203145,657,8.2,3.2,1.8,1.0,0.5
1629647,185,10.0,5.8,1.3,0.6,0.7
203078,645,22.1,4.1,4.2,1.1,0.4
1627736,336,10.4,2.5,1.2,0.6,0.1
202722,387,8.2,2.7,1.0,0.4,0.4
201976,526,8.8,4.3,3.5,1.1,0.5
1630180,152,14.3,5.0,2.2,0.8,0.2
203920,262,5.2,4.6,1.0,0.5,0.6
1629048,149,5.0,2.9,0.8,0.3,0.9
202687,738,5.2,6.1,0.6,0.3,1.3
