,PLAYER_NAME,TEAM_NAME,2021-22
0,Precious Achiuwa,Raptors,"$2,711,280"
1,Steven Adams,Grizzlies,"$17,073,171"
2,Bam Adebayo,Heat,"$28,103,550"
3,Santi Aldama,Grizzlies,"$1,994,520"
4,LaMarcus Aldridge,Nets,"$2,641,691"
5,Nickeil Alexander-Walker,Jazz,"$3,261,480"
6,Grayson Allen,Bucks,"$4,054,695"
7,Jarrett Allen,Cavaliers,"$20,000,000"
8,Jose Alvarado,Pelicans,"$1,500,000"
9,Kyle Anderson,Grizzlies,"$9,937,150"
10,Giannis Antetokounmpo,Bucks,"$39,344,970"
11,Thanasis Antetokounmpo,Bucks,"$1,729,217"
12,Carmelo Anthony,Lakers,"$2,641,691"
13,Cole Anthony,Magic,"$3,449,400"
14,OG Anunoby,Raptors,"$16,071,429"
15,Ryan Arcidiacono,Knicks,"$586,136"
16,D.J. Augustin,Lakers,"$7,622,467"
17,Deni Avdija,Wizards,"$4,692,840"
18,Deandre Ayton,Suns,"$12,632,950"
19,Udoka Azubuike,Jazz,"$2,075,880"
20,Marvin Bagley III,Pistons,"$11,312,114"
21,LaMelo Ball,Hornets,"$8,231,760"
22,Lonzo Ball,Bulls,"$18,604,651"
23,Mo Bamba,Magic,"$7,568,742"
24,Desmond Bane,Grizzlies,"$2,033,160"
25,Dalano Banton,Raptors,"$925,258"
26,Harrison Barnes,Kings,"$20,284,091"
27,Scottie Barnes,Raptors,"$7,280,520"
28,RJ Barrett,Knicks,"$8,623,920"
29,Will Barton,Nuggets,"$15,384,615"
30,Charles Bassey,76ers,"$925,258"
31,Keita Bates-Diop,Spurs,"$1,729,217"
32,Nicolas Batum,Clippers,"$12,213,507"
33,Kent Bazemore,Lakers,"$2,401,537"
34,Darius Bazley,Thunder,"$2,513,040"
35,Bradley Beal,Wizards,"$34,502,130"
36,Malik Beasley,Timberwolves,"$14,391,964"
37,Davis Bertans,Mavericks,"$16,000,000"
38,Patrick Beverley,Timberwolves,"$14,320,988"
39,Saddiq Bey,Pistons,"$2,824,320"
40,Khem Birch,Raptors,"$6,350,000"
41,Goga Bitadze,Pacers,"$3,098,400"
42,Bismack Biyombo,Suns,"$1,366,392"
43,Nemanja Bjelica,Warriors,"$2,089,448"
44,Eric Bledsoe,Trail Blazers,"$18,125,000"
45,Keljin Blevins,Trail Blazers,
46,Bogdan Bogdanovic,Hawks,"$18,000,000"
47,Bojan Bogdanovic,Jazz,"$18,700,000"
48,Bol Bol,Magic,"$2,161,152"
49,Leandro Bolmaro,Timberwolves,"$2,353,320"
50,Isaac Bonga,Raptors,"$1,729,217"
51,Devin Booker,Suns,"$31,610,000"
52,Brandon Boston Jr.,Clippers,"$925,258"
53,Chris Boucher,Raptors,"$7,009,615"
54,James Bouknight,Hornets,"$4,154,400"
55,Avery Bradley,Lakers,"$2,641,691"
56,Tony Bradley,Bulls,"$1,789,256"
57,Ignas Brazdeikis,Magic,
58,Mikal Bridges,Suns,"$5,557,725"
59,Miles Bridges,Hornets,"$5,421,493"
60,Oshae Brissett,Pacers,"$1,701,593"
61,Malcolm Brogdon,Pacers,"$21,700,000"
62,Armoni Brooks,Raptors,"$1,625,991"
63,Dillon Brooks,Grizzlies,"$12,200,000"
64,Bruce Brown,Nets,"$4,736,102"
65,Jaylen Brown,Celtics,"$24,830,357"
66,Moses Brown,Cavaliers,"$1,720,779"
67,Sterling Brown,Mavericks,"$3,000,000"
68,Greg Brown III,Trail Blazers,"$925,258"
69,Charlie Brown Jr.,76ers,
70,Chaundee Brown Jr.,Hawks,
71,Troy Brown Jr.,Bulls,"$5,170,564"
72,Jalen Brunson,Mavericks,"$1,802,057"
73,Thomas Bryant,Wizards,"$8,730,159"
74,Reggie Bullock,Mavericks,"$9,536,000"
75,Trey Burke,Mavericks,"$3,333,333"
76,Alec Burks,Knicks,"$9,536,000"
77,Jared Butler,Jazz,"$925,258"
78,Jimmy Butler,Heat,"$36,016,200"
79,Devontae Cacok,Spurs,"$364,533"
80,Kentavious Caldwell-Pope,Wizards,"$13,038,862"
81,Facundo Campazzo,Nuggets,"$3,804,150"
82,Vlatko Cancar,Nuggets,"$1,782,621"
83,Devin Cannady,Magic,"$100,000"
84,Clint Capela,Hawks,"$17,103,448"
85,Vernon Carey Jr.,Wizards,"$1,517,981"
86,Jevon Carter,Bucks,"$4,107,149"
87,Wendell Carter Jr.,Magic,"$6,920,027"
88,Alex Caruso,Bulls,"$8,604,651"
89,Justin Champagnie,Raptors,
90,Chris Chiozza,Warriors,
91,Marquese Chriss,Mavericks,"$958,529"
92,Josh Christopher,Rockets,"$2,259,240"
93,Gary Clark,Pelicans,"$377,645"
94,Brandon Clarke,Grizzlies,"$2,726,880"
95,Jordan Clarkson,Jazz,"$12,420,000"
96,Nic Claxton,Nets,"$1,782,621"
97,Amir Coffey,Clippers,"$153,488"
98,John Collins,Hawks,"$23,000,000"
99,Zach Collins,Spurs,"$6,984,127"
100,Mike Conley,Jazz,"$21,000,000"
101,Pat Connaughton,Bucks,"$5,333,333"
102,Tyler Cook,Bulls,
103,Sharife Cooper,Hawks,
104,DeMarcus Cousins,Nuggets,"$1,290,481"
105,Robert Covington,Clippers,"$12,975,471"
106,Torrey Craig,Suns,"$4,878,049"
107,Jae Crowder,Suns,"$9,720,900"
108,Jarrett Culver,Grizzlies,"$6,395,160"
109,Cade Cunningham,Pistons,"$10,050,120"
110,Seth Curry,Nets,"$8,186,047"
111,Stephen Curry,Warriors,"$45,780,966"
112,Anthony Davis,Lakers,"$35,361,360"
113,Ed Davis,Cavaliers,"$2,641,691"
114,Terence Davis,Kings,"$4,000,000"
115,DeMar DeRozan,Bulls,"$26,000,000"
116,Dewayne Dedmon,Heat,"$5,256,308"
117,Donte DiVincenzo,Kings,"$4,675,830"
118,Hamidou Diallo,Pistons,"$5,200,000"
